Price[1000Eur],City,Brand,Body,1000Km,Power[HP],Year,Gas,Transmission,Seller,Owners,Warranty
12.999,1,0,3,165.0,224,0,0,0,1,0,2
19.22,1,0,3,38.275999999999996,116,6,0,1,0,0,0
17.49,1,0,3,255.0,190,2,1,0,0,0,2
19.999000000000002,1,0,3,53.9,120,3,1,0,0,1,2
15.999,1,0,3,180.0,177,1,1,0,0,0,2
15.999,1,0,3,137.0,150,2,1,1,0,1,2
17.999000000000002,1,0,3,119.09,211,1,0,0,0,0,2
19.99,1,0,3,116.583,150,3,1,0,1,1,2
18.999000000000002,1,0,3,214.0,313,0,1,0,0,0,2
19.9,1,0,3,67.0,150,4,1,1,1,0,2
19.6,1,0,3,110.0,116,4,0,0,0,0,2
19.99,1,0,3,80.0,116,5,1,0,1,1,2
17.99,1,0,3,58.3,150,1,0,1,0,0,0
19.78,1,0,3,174.585,177,0,1,0,0,2,0
19.95,1,0,3,96.5,211,1,0,0,0,0,0
18.988,1,0,3,63.893,125,4,0,1,0,0,2
16.87,1,0,3,175.0,150,2,1,1,0,0,0
15.5,1,0,3,87.1,150,1,0,1,0,0,2
19.8,1,0,3,96.5,150,3,1,1,1,1,2
18.99,1,0,3,81.5,116,5,0,1,0,0,0
15.15,1,0,3,188.5,177,0,1,1,0,0,2
18.5,1,0,3,162.0,177,1,1,0,1,1,2
19.9,1,0,3,120.0,179,2,0,0,1,2,2
16.9,1,0,3,250.0,184,2,1,1,1,0,2
17.3,1,0,3,189.0,150,2,1,0,0,1,2
18.5,1,0,3,107.0,116,4,0,1,0,1,0
19.58,1,0,3,44.223,116,5,0,1,0,0,2
16.95,1,0,3,183.266,150,2,1,1,0,1,2
19.699,1,0,3,53.0,116,5,0,1,0,1,0
19.887999999999998,1,0,3,66.0,120,4,1,1,0,0,2
18.0,1,0,3,154.078,120,4,1,1,1,0,2
19.5,1,0,3,110.0,179,2,0,0,1,1,2
19.39,1,0,3,68.2,150,4,0,1,0,1,2
18.0,1,0,3,160.0,150,3,1,1,1,0,2
19.998,1,0,3,116.031,224,0,0,0,0,0,2
20.389,1,0,3,32.637,116,5,0,1,0,0,0
24.399,1,0,3,57.13,150,6,0,0,0,0,0
21.976999999999997,1,0,3,117.5,150,4,0,0,0,0,1
23.9,1,0,3,51.453,150,4,0,0,0,0,0
21.9,1,0,3,166.0,258,2,1,0,0,1,2
24.999000000000002,1,0,3,155.0,190,1,1,1,1,0,2
20.5,1,0,3,81.5,245,1,1,0,1,0,2
23.0,1,0,3,151.2,313,0,1,0,1,0,2
20.499000000000002,1,0,3,123.0,245,0,1,0,0,0,0
22.4,1,0,3,188.0,313,2,1,0,0,1,2
23.999000000000002,1,0,3,18.5,110,8,0,1,1,0,2
20.999000000000002,1,0,3,117.542,177,1,1,1,0,1,2
20.8,1,0,3,132.0,190,2,1,1,1,2,2
22.5,1,0,3,157.5,258,1,1,0,1,1,2
24.0,1,0,3,173.582,313,2,1,0,1,0,2
21.999000000000002,1,0,3,99.999,184,4,1,0,0,0,2
21.49,1,0,3,46.5,116,5,1,1,0,1,0
23.8,1,0,3,56.0,150,5,1,0,0,0,0
23.895,1,0,3,141.0,224,1,0,0,0,0,2
21.95,1,0,3,84.5,184,2,1,0,1,0,2
22.99,1,0,3,46.89,150,5,0,1,0,0,0
21.5,1,0,3,136.0,224,0,0,0,1,0,2
21.45,1,0,3,52.263999999999996,150,3,0,0,0,0,2
22.999000000000002,1,0,3,70.506,150,4,0,0,1,1,2
24.45,1,0,3,74.3,230,3,0,0,0,0,0
20.55,1,0,3,44.886,150,2,1,1,0,1,2
23.5,1,0,3,95.0,150,7,0,0,1,1,2
22.299,1,0,3,135.0,211,2,0,0,0,1,0
21.988000000000003,1,0,3,70.0,150,5,0,1,0,0,2
23.78,1,0,3,48.333999999999996,150,5,1,0,0,1,2
23.45,1,0,3,102.8,220,3,0,0,0,0,0
20.499000000000002,1,0,3,75.0,150,1,0,0,0,0,2
20.988000000000003,1,0,3,121.0,150,5,1,0,0,0,2
21.89,1,0,3,40.683,125,4,0,1,0,0,0
20.999000000000002,1,0,3,118.0,150,4,1,0,0,1,2
21.1,1,0,3,140.0,150,5,1,0,1,1,2
23.75,1,0,3,64.99600000000001,150,6,0,0,0,0,2
21.447,1,0,3,42.181000000000004,150,6,0,1,0,0,2
21.18,1,0,3,50.226000000000006,116,5,0,1,0,0,1
22.9,1,0,3,42.0,116,6,0,0,1,0,2
23.999000000000002,1,0,3,121.0,177,0,1,0,1,1,2
22.979,1,0,3,42.37,116,6,1,1,0,1,2
24.488000000000003,1,0,3,92.23,184,3,1,0,0,0,2
20.42,1,0,3,39.995,150,5,0,1,0,1,0
20.06,1,0,3,60.482,150,4,0,1,0,3,1
22.988000000000003,1,0,3,55.25,150,5,0,1,0,0,2
24.89,1,0,3,49.81,116,8,1,1,0,0,2
23.95,1,0,3,16.85,116,7,0,1,0,1,2
23.0,1,0,3,114.0,150,2,1,0,1,0,2
21.99,1,0,3,110.411,150,7,0,1,0,0,0
20.5,1,0,3,71.5,150,2,1,1,1,0,2
24.88,1,0,3,73.3,150,4,1,0,0,1,2
24.772,1,0,3,58.0,150,8,0,1,0,0,0
22.879,1,0,3,43.699,116,6,1,1,0,1,2
21.221999999999998,1,0,3,171.0,163,1,1,0,1,0,2
24.3,1,0,3,28.5,116,7,0,1,1,1,2
23.5,1,0,3,51.0,150,4,0,1,1,0,2
20.871,1,0,3,49.441,116,5,1,1,0,1,2
22.99,1,0,3,88.73899999999999,116,6,1,0,0,0,0
21.63,1,0,3,116.6,150,3,1,0,0,2,2
22.97,1,0,3,25.3,116,7,0,1,0,0,2
24.9,1,0,3,100.0,150,4,1,0,1,0,2
23.747,1,0,3,75.429,150,6,1,0,0,0,2
23.441999999999997,1,0,3,32.143,150,5,0,1,0,1,2
20.95,1,0,3,51.52,150,4,0,1,0,3,2
22.888,1,0,3,61.5,150,5,0,1,0,0,2
20.5,1,0,3,102.0,150,2,0,0,0,0,2
23.888,1,0,3,0.01,110,10,0,1,0,0,2
21.95,1,0,3,130.0,150,6,0,1,1,1,2
24.85,1,0,3,63.3,150,4,0,0,1,0,2
20.82,1,0,3,62.9,120,5,1,1,0,1,0
23.49,1,0,3,84.0,179,3,0,0,0,1,2
21.86,1,0,3,49.775,116,7,0,1,0,0,2
23.489,1,0,3,53.49100000000001,125,5,0,1,0,1,2
21.5,1,0,3,114.876,116,6,1,1,1,1,2
24.95,1,0,3,119.45100000000001,150,5,1,1,0,1,1
23.87,1,0,3,58.32,125,5,0,1,0,2,2
22.32,1,0,3,50.0,116,5,1,0,0,0,0
21.883000000000003,1,0,3,52.625,116,5,1,1,0,1,2
23.36,1,0,3,73.9,116,6,1,0,0,0,2
24.892,1,0,3,61.739,116,6,1,0,0,1,2
23.9,1,0,3,17.6,150,5,0,1,1,0,2
20.88,1,0,3,34.958,116,5,0,1,0,1,1
24.75,1,0,3,28.785,116,5,1,1,0,0,2
22.89,1,0,3,11.7,116,7,0,1,0,0,2
