City,Brand,Body,Price,1000Km,Power,Year,Gas,Transmission,Seller,Owners,Warranty,URL
münchen,skoda,kombi,49.900,4.1,245,2022,Benzin,Automatik,Privat,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-octavia-combi-rs-plus-massage-pano-canton-ahk-benzin-schwarz-c43055f9-9b36-4d5a-8dca-70160615a34a
münchen,skoda,kombi,42.188,0.01,150,2023,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-superb-combi-2-0-tdi-150-dsg-sportl-matrix-nav-diesel-weiss-2475a05c-d84a-4079-ae55-7b542f8fc5c3
münchen,skoda,kombi,43.990,0.01,245,2023,Benzin,Automatik,Händler,1,Ja,https://www.autoscout24.de/angebote/skoda-octavia-combi-rs-dsg-hud-ahk-r-ka-navi-5jgar-benzin-grau-93a3169f-b052-48ca-8d5d-72d7984d352d
münchen,skoda,kombi,42.950,0.05,245,2022,Benzin,Automatik,Händler,2,Ja,https://www.autoscout24.de/angebote/skoda-octavia-combi-rs-2-0-tsi-dsg-ahk-headup-navi-app-benzin-weiss-d2afedc7-ff45-49ef-a671-2979744c10cd
münchen,skoda,kombi,41.280,11.0,150,2022,Diesel,Automatik,Händler,1,Ja,https://www.autoscout24.de/angebote/skoda-superb-combi-2-0-tdi-dsg-style-vorb-ahk-matrix-led-digi-diesel-grau-eb20b2ea-69a7-4ed0-a319-5a2e4098fef6
münchen,skoda,kombi,46.990,0.501,245,2023,Benzin,Automatik,Händler,1,Ja,https://www.autoscout24.de/angebote/skoda-octavia-2-0-tsi-dsg-rs-plus-combi-ahk-pano-canto-benzin-schwarz-6974f378-49d2-4fe0-9b77-07be721c6cdc
münchen,skoda,kombi,48.990,0.02,150,2023,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-style-oct-com-sty-td110-2-0a7f-diesel-grau-93ac05bd-cde8-4685-8c20-7c079f131a55
münchen,skoda,kombi,45.800,0.01,190,2023,Benzin,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-sportline-4x4-iv-2-0-tsi-dsg-sportline-m-benzin-schwarz-d6d9d895-0e19-4f15-8f24-9a85e1d446c2
münchen,skoda,kombi,43.450,0.15,245,2023,Benzin,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-2-0-tsi-dsg-rs-ahk-columbus-matrix-kamera-benzin-blau-9cb9eadd-74bf-4641-87b5-992e2760f6e9
münchen,skoda,kombi,41.980,16.8,245,2022,Benzin,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-rs-2-0-tsi-245-ps-vc-matrix-v-ahk-benzin-grau-19518523-1bc4-4f8d-9e02-0366a996731b
